Question|Options|Answer       
Q. One important aspect of the software process framework is known as process flow that elaborates the arrangement of the structure and action over time. Which one is a kind of process flow?|a. Linear/Parallel process flow ,b Iterative process flow ,c Evolutionary process flow ,d All of the above|d. All of the above    
Q. Which is NOT among five framework activities?|a. deployment ,b evolvement ,c modeling ,dcommunication|b. evolvement    
Q. What are the ADVANTAGES of the Waterfall process model when applying to the real-life projects?|a. The process satisfies real projects since these projects tend to follow a sequential workflow. ,b Customers explain their requirements vividly from scratch so that the process can easily be followed and fulfilled. ,c Faults are eliminated because the process reviews each stage. ,d None of the above.|d. None of the above.    
Q. Which software model can be adapted to apply throughtout the life of the computer software?|a. Waterfall Model ,b Prototyping Process Model ,c Unified Process Model ,d Evolutionary Process Model(Spiral Model) |d. Evolutionary Process Model(Spiral Model)     
Q. Which of the following statement is not correct about the Unified Process Model?|a. There is continuous customer involvement . ,b This model does not work well with maintenance projects. ,c Use cases are not always precise. ,d It has tricky software increment integration and overlapping phases can cause problems|b. This model does not work well with maintainance projects.    
Q. Which of the following shows the correct sequence for process flow? |a. Communication-Modeling-Planning-Construction-Deployment ,b Planning-Communication-Modeling-Construction-Deployment ,c Communication-Planning-Modeling-Construction-Deployment ,d Construction-Planning-Communication-Modelling-Deployment|c. Communication-Planning-Modeling-Construction-Deployment    
Q. Which one advantage is not correct about the prototyping model?|a. It works well for small projects ,b There is a reduced likelihood of product rejection. ,c It is easy to plan and manage. ,d There is a reduced impact of requirement changes.|c. It is easy to plan and manage.    
Q. Which aspect of the Unified Process is emphasized to manage and accomodate changes in requirements during software development.|a. Late customer involvement to finalize product features. ,b Heavy reliance on a single comprehensive software prototype. ,c Continuous customer involvement throughout the development process. ,d Use of rigid  sequential phase structure to ensure predictability.|c. Continuous customer involvement throughout the development process.   
Q) What does the term ???adaptable?? lie in Agile Development process?|a. Constant Changes in System ,b Focusing on data ,c Rapid changes of project ,d concern about software increment|c. Rapid changes of project    
Q. What is the focus of the inception phase in the Unified Process (UP)?|a. Implementation of source code. ,b Iterative and incremental development. ,c Customer communication  planning  and describing fundamental business requirements. ,d Use of UML for modeling and development.|c. Customer communication  planning  and describing fundamental business requirements.
Q. What is a characteristic of sequential process models  like the waterfall model?|a. They are designed for continuous change and evolving systems. ,b They follow an iterative and incremental approach. ,c They suggest a linear process flow. ,d They prioritize use case-driven and architecture-centric development.|c. They suggest a linear process flow.   
Q. What characterizes the spiral mode in terms of its development approach?|a. Straight-line Path ,b Waterfall Structure ,c Rapid Completion ,d Iterative prototyping|d. Iterative prototyping    
Q. Which of the following statements about the spiral model is not true?|a. Unlike other process models that end when software is delivered  the spiral model can be adapted to apply throughout the life of the computer software. ,b The spiral model is a realistic approach to the development of large-scale systems and software. ,c The spiral model uses prototyping as a risk reduction mechanism  which if properly applied  should reduce risks before they become problematic. ,d A spiral model is divided into a set of framework activities defined by the customer.|d. A spiral model is divided into a set of framework activities defined by the customer. 
Q. In what situations might a prototyping paradigm offer the best approach in software development?|a. When detailed requirements for functions and features are well-defined. ,b When the developer is confident about the efficiency of an algorithm. ,c When human-machine interaction is clear and well-defined. ,d When general objectives are defined  but detailed requirements are unclear.|d. When general objectives are defined  but detailed requirements are unclear.  
Q. How does the Unified Process (UP) differ from the generic software process in terms of phase concurrency?|a. UP phases occur sequentially ,b UP phases have no concurrency ,c UP phases occur with staggered concurrency ,d UP phases have overlapping boundaries|c. UP phases occur with staggered concurrency    
Q. Does the existence of a software process ensure the on-time delivery to clients' needs and quality?|a. Yes  ,b No  ,c it only ensures quality. ,d it only ensures in-time delivery. |b. No     
Q. What is the oldest paradigm (also known as process model) for software engineering?|a. Prototyping model ,b Waterfall model ,c Spiral model ,d Unified process model|b. Waterfall model    
Q. What is a significant characteristic of sequential process models like the waterfall model in software development?|a. They adapt quickly to continuous changes and evolving systems. ,b They follow a linear process flow. ,c They are mainly used in modern  fast-paced software environments. ,d They eliminate the need for the planning stage in software development.|b. They follow a linear process flow.   
Q.  If the project was considerably more complex with lots of stakeholders  each with a different set of requirements  the communication activity might have distinct actions. Chose the false one|a. distinct actions ,b negotiation ,c validation ,d phone conversation|d. phone conversation  
Q. A Parallel Process Flow does which of the following?|a. Repeats one or more of the activities before proceeding to the next ,b Executes one or more activities along with other activities ,c Executes activities in a circular manner ,d None of the above|b. Executes one or more activities along with other activities    
Q. For which process model quality documentation is essential?|a. Waterfall Model ,b Spiral Model ,c Prototyping Model  ,d UP(Unified Process) Model|d. UP(Unified Process) Model    
Q. Which software process model is described as an evolutionary approach that combines prototyping with controlled and systematic aspects  providing the potential for rapid development of increasingly more complete versions of the software?|a. Waterfall Model ,b Spiral Model ,c Agile Model ,d Prototype Model|b. Spiral Model   
Q. What is a challenge associated with the Prototyping model?|a. Reduced impact of requirement changes ,b There may be a temptation to ship a prototype ,c It works well for small projects ,d There is continuous customer involvement|b. There may be a temptation to ship a prototype    
